Dataset;Clf;Ganho %;Ganho relativo %;DP;DP relativo %;VAR;VAR relativo %;Empates %;p_value;Status
glass;AdaBoost;12,12;37,61;11,7;44,7;136,82;1998,18;6,7;1,6600426101418066e-05;Significativo ✅
glass;DecisionTree;14,24;34,54;11,95;39,24;142,88;1539,58;10,0;5,285177191935656e-06;Significativo ✅
glass;GaussianProcess;10,45;21,43;10,04;21,41;100,76;458,23;10,0;2,7444597977865527e-05;Significativo ✅
glass;KNN;3,03;6,69;9,27;17,36;85,86;301,29;16,7;0,052386676664029845;Não Significativo (Inconclusivo)
glass;LogisticRegression;-7,27;-15,94;5,94;18,99;35,26;360,76;6,7;0,9999763947866742;Desvantagem Consistente ❌
glass;MLP;12,88;37,37;13,18;39,76;173,67;1580,63;13,3;3,4445722652818065e-05;Significativo ✅
glass;NaiveBayes;-0,76;3,69;11,62;27,92;135,1;779,32;13,3;0,6392317519442414;Não Significativo (Inconclusivo)
glass;RandomForest;8,79;19,56;10,56;25,11;111,48;630,39;16,7;0,00023782893307763871;Significativo ✅
glass;SVM;-2,58;-7,08;2,25;6,19;5,07;38,37;43,3;0,9999813100907992;Desvantagem Consistente ❌
haberman;AdaBoost;0,97;3,47;10,44;18,16;109,02;329,8;10,0;0,4186877206247143;Não Significativo (Inconclusivo)
haberman;DecisionTree;2,58;5,48;9,9;16,37;98,09;267,94;6,7;0,10855948790991599;Não Significativo (Inconclusivo)
haberman;GaussianProcess;2,58;3,68;3,85;5,6;14,85;31,35;36,7;0,0007585724321415344;Significativo ✅
haberman;KNN;1,83;3,25;7,93;11,67;62,91;136,14;6,7;0,11472306268299115;Não Significativo (Inconclusivo)
haberman;LogisticRegression;0,0;0,0;0,0;0,0;0,0;0,0;100,0;;Equivalência (Muitos Empates)
haberman;MLP;0,11;0,15;0,58;0,82;0,34;0,67;96,7;0,15865525393145707;Equivalência (Muitos Empates)
haberman;NaiveBayes;2,15;3,13;3,66;5,47;13,41;29,96;33,3;0,007084784897154821;Significativo ✅
haberman;RandomForest;5,27;7,99;6,26;9,58;39,18;91,78;10,0;0,0001733096755673334;Significativo ✅
haberman;SVM;0,86;1,19;2,49;3,32;6,2;11,05;43,3;0,0368191350601513;Significativo ✅
heart;AdaBoost;1,56;6,02;10,25;22,22;104,99;493,58;6,7;0,23923417500906485;Não Significativo (Inconclusivo)
heart;DecisionTree;1,78;6,77;9,77;24,92;95,36;621,19;10,0;0,26941220975880775;Não Significativo (Inconclusivo)
heart;GaussianProcess;-3,44;-5,83;5,87;10,26;34,43;105,35;10,0;0,9974308044194636;Desvantagem Consistente ❌
heart;KNN;-6,67;-11,37;10,0;19,19;100,0;368,1;6,7;0,9988169143120565;Desvantagem Consistente ❌
heart;LogisticRegression;-2,56;-4,31;5,82;10,37;33,84;107,56;23,3;0,9823469322674404;Desvantagem Consistente ❌
heart;MLP;0,33;2,34;8,32;16,61;69,15;275,92;10,0;0,39022148711018223;Não Significativo (Inconclusivo)
heart;NaiveBayes;9,11;34,43;13,52;53,53;182,91;2865,96;13,3;0,0011883497374939184;Significativo ✅
heart;RandomForest;-2,44;-3,03;8,9;16,43;79,21;269,97;13,3;0,9200679012260133;Não Significativo (Inconclusivo)
heart;SVM;-2,22;-3,21;7,57;15,11;57,28;228,19;10,0;0,9814393475824633;Desvantagem Consistente ❌
